,0
1535,INTT
1536,INVA
1537,INVE
1538,INZY
1539,IO
1540,IPA
1541,IPFF
1542,IPHA
1543,IPOF.U
1544,IPVA.U
1545,IPWR
1546,IRCP
1547,IRT
1548,ISBC
1549,ISD
1550,ISEE
1551,ISLE
1552,ISNS
1553,ISOS
1554,ISR
1555,ISSC
1556,ISUN
1557,ITP
1558,ITQ
1559,ITQRU
1560,ITRG
1561,ITRM
1562,ITUB
1563,IVA
1564,IVAC
1565,IVAN
1566,IVAN.U
1567,IVC
1568,IVDG
1569,IVH
1570,IVR
1571,IVRA
1572,IVSG
1573,IZEA
1574,JAGX
1575,JAKK
1576,JAN
1577,JAX
1578,JBI
1579,JBLU
1580,JCE
1581,JCICU
1582,JCO
1583,JCTCF
1584,JDD
1585,JDST
1586,JEMD
1587,JEQ
1588,JFIN
1589,JFR
1590,JFU
1591,JG
1592,JGH
1593,JHAA
1594,JHB
1595,JHI
1596,JHME
1597,JHS
1598,JILL
1599,JJA
1600,JMP
1601,JOB
1602,JOFFU
1603,JPS
1604,JRI
1605,JRS
1606,JWSM
1607,KAHC.U
1608,KAIR
1609,KAIRU
1610,KALA
1611,KAR
1612,KBNT
1613,KBSF
1614,KBWD
1615,KCAC
1616,KCAC.U
1617,KDMN
1618,KDNY
1619,KE
1620,KEP
1621,KEQU
1622,KERN
1623,KEY
1624,KFFB
1625,KFS
1626,KGC
1627,KIIIU
1628,KIM
1629,KIN
1630,KINS
1631,KINZ
1632,KIO
1633,KIQ
1634,KLDO
1635,KLXE
1636,KMDA
1637,KMF
1638,KMI
1639,KMPH
1640,KN
1641,KNDI
1642,KNOP
1643,KNSA
1644,KODK
1645,KOSS
1646,KPLT
1647,KRBP
1648,KRNL
1649,KRNY
1650,KRT
1651,KSICU
1652,KSMT
1653,KT
1654,KUKE
1655,KURA
1656,KURI
1657,KURIU
1658,KVSB
1659,KW
1660,KWAC.U
1661,KYN
1662,KZR
1663,LABP
1664,LAC
1665,LADR
1666,LAIX
1667,LATN
1668,LAUR
1669,LAZY
1670,LBAI
1671,LBPH
1672,LBPS
1673,LC
1674,LCAA
1675,LCAHU
1676,LCNB
1677,LCTX
1678,LCUT
1679,LDHA
1680,LDI
1681,LDSF
1682,LEDS
1683,LEGA
1684,LEGH
1685,LEGO
1686,LEJU
1687,LEV
1688,LEXX
1689,LFMD
1690,LFT
1691,LFVN
1692,LGAC
1693,LGACU
1694,LGHL
1695,LGI
1696,LGL
1697,LGO
1698,LGV
1699,LGV.U
1700,LGVN
1701,LHAA
1702,LHC
1703,LHDX
1704,LIFE
1705,LIII
1706,LIII.U
1707,LILA
1708,LILAK
1709,LINC
1710,LIND
1711,LINK
1712,LIQT
1713,LITB
1714,LITTU
1715,LIVK
1716,LIXT
1717,LKCO
1718,LMNL
1719,LODE
1720,LOKM.U
1721,LOTZ
1722,LOV
1723,LPCN
1724,LPG
1725,LPL
1726,LPTH
1727,LPTX
1728,LQDA
1729,LRMR
1730,LSAQ
1731,LSBK
1732,LSEA
1733,LTBR
1734,LTCH
1735,LTHM
1736,LTRN
1737,LTRPA
1738,LTRX
1739,LU
1740,LUB
1741,LUMN
1742,LUMO
1743,LUNA
1744,LUXA
1745,LUXAU
1746,LVOX
1747,LVRA
1748,LVTX
1749,LWAC
1750,LWACU
1751,LWAY
1752,LX
1753,LXEH
1754,LXP
1755,LXRX
1756,LXU
1757,LYEL
1758,LYG
1759,LYL
1760,M
1761,MAAC
1762,MAACU
1763,MAC
1764,MACA
1765,APGB.U
1766,APLE
1767,APPH
1768,AQST
1769,ARDC
1770,ARKR
1771,ARKX
1772,ARMP
1773,ARTL
1774,ASC
1775,ASEA
1776,MACAU
1777,MACC
1778,MACC.U
1779,MACK
1780,MACQ
1781,MACU
1782,MACUU
1783,MAGS
1784,MANU
1785,MAPS
1786,MAQC
1787,MARB
1788,MARK
1789,MARPS
1790,MAT
1791,MAV
1792,MAXN
1793,MBAC
1794,MBAC.U
1795,MBI
1796,MBII
1797,MBIO
1798,MBOT
1799,MBRX
1800,MBT
1801,MBTC
1802,MBTCR
1803,MBTCU
1804,MCA
1805,MCAD
1806,MCADR
1807,MCAER
1808,MCAFU
1809,MCBC
1810,MCBS
1811,MCF
1812,MCHX
1813,MCI
1814,MCMJ
1815,MCN
1816,MCR
1817,MCRB
1818,MCS
1819,MDCA
1820,MDGS
1821,MDIA
1822,MDIV
1823,MDJH
1824,MDNA
1825,MDRR
1826,MDRX
1827,MDVL
1828,MDWD
1829,MDXG
1830,ME
1831,MEC
1832,MEDS
1833,MEIP
1834,MERC
1835,MESA
1836,MESO
1837,META
1838,METC
1839,METX
1840,MF
1841,MFA
1842,MFC
1843,MFD
1844,MFG
1845,MFGP
1846,MFH
1847,MFIN
1848,MFL
1849,MFM
1850,MFNC
1851,MFV
1852,MG
1853,MGF
1854,MGI
1855,MGIC
1856,MGTA
1857,MGTX
1858,MGY
1859,MGYR
1860,MHD
1861,MHF
1862,MHH
1863,MHI
1864,MHLD
1865,MHN
1866,MICT
1867,MIE
1868,MILE
1869,MIN
1870,MIND
1871,MINM
1872,MIRM
1873,MIRO
1874,MIST
1875,MIT
1876,MIT.U
1877,MITAU
1878,MITC
1879,MITK
1880,MITO
1881,MITT
1882,MIXT
1883,MIY
1884,MJ
1885,MJUS
1886,MKD
1887,MKGI
1888,MKTY
1889,MLAC
1890,MLCO
1891,MLP
1892,MLPB
1893,MLPO
1894,MLSS
1895,MMAT
1896,MMLP
1897,MMT
1898,MMU
1899,MMX
1900,MN
1901,MNDO
1902,MNKD
1903,MNMD
1904,MNOV
1905,MNP
1906,MNPR
1907,MNR
1908,MNRL
1909,MNSO
1910,MNTK
1911,MNTX
1912,MOD
1913,MOGO
1914,MOGU
1915,MOHO
1916,MOLN
1917,MOMO
1918,MON
1919,MOR
1920,MORT
1921,MOSY
1922,MOTN
1923,MOTNU
1924,MOTS
1925,MOTV
1926,MOTV.U
1927,MOVE
1928,MPA
1929,MPAC
1930,MPACU
